종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"001140","국보","KOSPI","운수창고업","1400","-10","-0.71","85491757400"
"002720","국제약품","KOSPI","의약품","8140","-210","-2.51","156907372600"
"083420","그린케미칼","KOSPI","화학","11400","0","0.00","273600000000"
"014530","극동유화","KOSPI","화학","4300","0","0.00","149938506000"
"014280","금강공업","KOSPI","철강금속","8700","190","2.23","255165405900"
"014285","금강공업우","KOSPI","철강금속","15000","250","1.69","8848125000"
"008870","금비","KOSPI","비금속광물","74700","-400","-0.53","74700000000"
"001570","금양","KOSPI","화학","5720","-80","-1.38","274168843520"
"002990","금호건설","KOSPI","건설업","13050","-50","-0.38","478072708200"
"002995","금호건설우","KOSPI","건설업","33950","250","0.74","9922430700"
"011780","금호석유","KOSPI","화학","191500","-1000","-0.52","5834562826500"
"011785","금호석유우","KOSPI","화학","113000","0","0.00","341653918000"
"214330","금호에이치티","KOSPI","운수장비","2250","-15","-0.66","309623845500"
"001210","금호전기","KOSPI","전기전자","3640","40","1.11","59941703640"
"073240","금호타이어","KOSPI","화학","5930","-60","-1.00","1703453501910"
"092440","기신정기","KOSPI","기계","4575","60","1.33","133590000000"
"000270","기아","KOSPI","운수장비","83800","-2000","-2.33","33969448478600"
"024110","기업은행","KOSPI","은행","10350","-100","-0.96","7703511075450"
"013700","까뮤이앤씨","KOSPI","건설업","2375","-50","-2.06","107236665000"
"004540","깨끗한나라","KOSPI","종이목재","5310","-30","-0.56","197748079830"
"004545","깨끗한나라우","KOSPI","종이목재","24700","-450","-1.79","9044152000"
"001260","남광토건","KOSPI","건설업","14850","-350","-2.30","145959179850"
"008350","남선알미늄","KOSPI","철강금속","3975","-5","-0.13","437961882750"
"008355","남선알미우","KOSPI","철강금속","44050","-1400","-3.08","13562554500"
"004270","남성","KOSPI","유통업","3325","-40","-1.19","120405432000"
"003920","남양유업","KOSPI","음식료품","504000","-43000","-7.86","362880000000"
"003925","남양유업우","KOSPI","음식료품","265000","-20000","-7.02","44165430000"
"025860","남해화학","KOSPI","화학","10700","-200","-1.83","531563620100"
"005720","넥센","KOSPI","화학","5000","-10","-0.20","267719885000"
"005725","넥센우","KOSPI","화학","3680","20","0.55","13250208000"
"002350","넥센타이어","KOSPI","화학","8360","0","0.00","816503451720"
"002355","넥센타이어1우B","KOSPI","화학","3750","0","0.00","24375000000"
"003580","넥스트사이언스","KOSPI","광업","29450","350","1.20","1227058899650"
"251270","넷마블","KOSPI","서비스업","126000","-1500","-1.18","10830141252000"
"090350","노루페인트","KOSPI","화학","11400","150","1.33","228000000000"
"090355","노루페인트우","KOSPI","화학","24100","100","0.42","11161336600"
"000320","노루홀딩스","KOSPI","기타금융","13600","-100","-0.73","180759653600"
"000325","노루홀딩스우","KOSPI","기타금융","54000","-1400","-2.53","10003500000"
"006280","녹십자","KOSPI","의약품","377000","-6500","-1.69","4405824826000"
"005250","녹십자홀딩스","KOSPI","서비스업","33700","-150","-0.44","1584850677000"
"005257","녹십자홀딩스2우","KOSPI","서비스업","84000","-2700","-3.11","71063160000"
"004370","농심","KOSPI","음식료품","301500","-500","-0.17","1833916563000"
"072710","농심홀딩스","KOSPI","기타금융","76100","-200","-0.26","352935819000"
"058730","다스코","KOSPI","기계","5890","60","1.03","96007000000"
"023590","다우기술","KOSPI","서비스업","26550","350","1.34","1191208681350"
"145210","다이나믹디자인","KOSPI","기계","589","-13","-2.16","92831003035"
"019680","대교","KOSPI","서비스업","4330","-15","-0.35","366763340500"
"019685","대교우B","KOSPI","서비스업","3225","-10","-0.31","62652042750"
"006370","대구백화점","KOSPI","유통업","11250","50","0.45","121743123750"
"008060","대덕","KOSPI","기타금융","7570","0","0.00","256548435500"
"00806K","대덕1우","KOSPI","기타금융","11350","50","0.44","13760251950"
"353200","대덕전자","KOSPI","전기전자","18700","150","0.81","924096497500"
"35320K","대덕전자1우","KOSPI","전기전자","15100","-100","-0.66","31642336900"
"000490","대동","KOSPI","기계","11250","0","0.00","266942362500"
"008110","대동전자","KOSPI","전기전자","6790","-50","-0.73","71230135130"
"005750","대림B&Co","KOSPI","비금속광물","7710","-90","-1.15","128542970400"
"006570","대림통상","KOSPI","기계","4020","-85","-2.07","61204500000"
"001680","대상","KOSPI","음식료품","25150","-250","-0.98","871397828750"
"001685","대상우","KOSPI","음식료품","19150","-50","-0.26","26239770450"
"084690","대상홀딩스","KOSPI","기타금융","11050","-50","-0.45","400148544900"
"084695","대상홀딩스우","KOSPI","기타금융","12300","-100","-0.81","11235828600"
"128820","대성산업","KOSPI","유통업","4570","45","0.99","206726134460"
"117580","대성에너지","KOSPI","전기가스업","6270","-130","-2.03","172425000000"
"016710","대성홀딩스","KOSPI","서비스업","39300","0","0.00","632315738700"
"003540","대신증권","KOSPI","증권","19150","-50","-0.26","972310610000"
"003547","대신증권2우B","KOSPI","증권","16700","0","0.00","167000000000"
"003545","대신증권우","KOSPI","증권","17300","0","0.00","449800000000"
"009190","대양금속","KOSPI","철강금속","5760","110","1.95","178329530880"
"014160","대영포장","KOSPI","종이목재","2750","-30","-1.08","298085009750"
"047040","대우건설","KOSPI","건설업","7370","50","0.68","3063138842060"
"009320","대우부품","KOSPI","운수장비","2695","35","1.32","128406980625"
"042660","대우조선해양","KOSPI","운수장비","27000","-200","-0.74","2896848063000"
"003090","대웅","KOSPI","기타금융","35850","200","0.56","2084389983000"
"069620","대웅제약","KOSPI","의약품","164000","0","0.00","1900198300000"
"000430","대원강업","KOSPI","운수장비","4595","35","0.77","284890000000"
"006340","대원전선","KOSPI","전기전자","2370","115","5.10","168310211790"
"006345","대원전선우","KOSPI","전기전자","4075","0","0.00","10681390000"
"003220","대원제약","KOSPI","의약품","20500","-300","-1.44","435108871500"
"024890","대원화성","KOSPI","화학","3010","-170","-5.35","124159947520"
"002880","대유에이텍","KOSPI","운수장비","1340","-10","-0.74","149894513180"
"000300","대유플러스","KOSPI","전기전자","1495","-35","-2.29","180893167130"
"012800","대창","KOSPI","철강금속","2250","30","1.35","205066122750"
"015230","대창단조","KOSPI","운수장비","8190","-10","-0.12","117003281850"
"001070","대한방직","KOSPI","섬유의복","44050","550","1.26","233465000000"
"006650","대한유화","KOSPI","화학","230000","-1500","-0.65","1495000000000"
"001440","대한전선","KOSPI","전기전자","2515","-25","-0.98","2154029617635"
"084010","대한제강","KOSPI","철강금속","21900","-100","-0.45","539763474600"
"001790","대한제당","KOSPI","음식료품","3055","-10","-0.33","274023051900"
"001795","대한제당우","KOSPI","음식료품","3175","25","0.79","20582763000"
"001130","대한제분","KOSPI","음식료품","164500","-500","-0.30","278005000000"
"003490","대한항공","KOSPI","운수창고업","30800","-300","-0.96","10712881410000"
"003495","대한항공우","KOSPI","운수창고업","39200","-300","-0.76","43543124800"
"005880","대한해운","KOSPI","운수창고업","2945","-40","-1.34","939977619700"
"003830","대한화섬","KOSPI","화학","140000","-2500","-1.75","185920000000"
"016090","대현","KOSPI","섬유의복","2575","-25","-0.96","114026948250"
"069460","대호에이엘","KOSPI","철강금속","4130","-45","-1.08","202359658480"
"192080","더블유게임즈","KOSPI","서비스업","61500","-200","-0.32","1130031873000"
"012510","더존비즈온","KOSPI","서비스업","93000","3300","3.68","2821681473000"
"004830","덕성","KOSPI","화학","17000","-250","-1.45","266560000000"
"004835","덕성우","KOSPI","화학","22850","-500","-2.14","31807200000"
"024900","덕양산업","KOSPI","운수장비","3180","-30","-0.93","103556636400"
"145720","덴티움","KOSPI","의료정밀","89200","1700","1.94","987339636000"
"002150","도화엔지니어링","KOSPI","서비스업","8460","-40","-0.47","285271200000"
"001230","동국제강","KOSPI","철강금속","20150","-200","-0.98","1922969650550"
"023450","동남합성","KOSPI","화학","67100","500","0.75","242231000000"
"004140","동방","KOSPI","운수창고업","5340","-30","-0.56","213449230440"
"007590","동방아그로","KOSPI","화학","7490","-100","-1.32","101995651730"
"005960","동부건설","KOSPI","건설업","14200","100","0.71","322790551800"
"005965","동부건설우","KOSPI","건설업","48500","-1400","-2.81","10948002000"
"026960","동서","KOSPI","유통업","29050","100","0.35","2896285000000"
"002210","동성제약","KOSPI","의약품","10750","100","0.94","280585427500"
"102260","동성케미컬","KOSPI","서비스업","5810","90","1.57","288697319680"
"000640","동아쏘시오홀딩스","KOSPI","기타금융","116500","500","0.43","739484449000"
"170900","동아에스티","KOSPI","의약품","77900","600","0.78","657777317200"
"028100","동아지질","KOSPI","건설업","20700","-300","-1.43","238050000000"
"282690","동아타이어","KOSPI","화학","12800","-100","-0.78","175782592000"
