종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"134060","이퓨쳐","KOSDAQ","출판·매체복제","9310","-10","-0.11","44401717500"
"001840","이화공영","KOSDAQ","건설","7250","-100","-1.36","143591760000"
"024810","이화전기","KOSDAQ","IT부품","2160","-20","-0.92","180281425680"
"041830","인바디","KOSDAQ","의료·정밀기기","29250","550","1.92","400250623500"
"352940","인바이오","KOSDAQ","화학","9880","0","0.00","107373172400"
"079950","인베니아","KOSDAQ","기계·장비","2525","-45","-1.75","58580000000"
"277410","인산가","KOSDAQ","음식료·담배","2815","45","1.62","89695468185"
"060150","인선이엔티","KOSDAQ","기타서비스","11950","-150","-1.24","556435163400"
"033230","인성정보","KOSDAQ","컴퓨터서비스","3010","-70","-2.27","118038293800"
"037330","인지디스플레","KOSDAQ","IT부품","2990","25","0.84","131216819760"
"083640","인콘","KOSDAQ","통신장비","2270","-25","-1.09","101375405630"
"216050","인크로스","KOSDAQ","기타서비스","50000","-1000","-1.96","402838850000"
"049070","인탑스","KOSDAQ","IT부품","28750","1850","6.88","494500000000"
"119610","인터로조","KOSDAQ","의료·정밀기기","29850","700","2.40","387069337950"
"017250","인터엠","KOSDAQ","일반전기전자","1600","5","0.31","33672747200"
"035080","인터파크","KOSDAQ","유통","8100","-290","-3.46","657632220300"
"051370","인터플렉스","KOSDAQ","IT부품","14600","450","3.18","340581091200"
"064290","인텍플러스","KOSDAQ","반도체","24750","-750","-2.94","314212684500"
"189300","인텔리안테크","KOSDAQ","일반전기전자","70900","3300","4.88","651122132100"
"150840","인트로메딕","KOSDAQ","의료·정밀기기","3695","50","1.37","133664877265"
"048530","인트론바이오","KOSDAQ","제약","22750","50","0.22","761523467250"
"175140","인포마크","KOSDAQ","통신장비","7210","60","0.84","36585616480"
"115310","인포바인","KOSDAQ","통신서비스","25200","-700","-2.70","80460651600"
"039290","인포뱅크","KOSDAQ","통신서비스","11000","-150","-1.35","95633758000"
"071200","인피니트헬스케어","KOSDAQ","소프트웨어","8050","30","0.37","196391486900"
"016670","인피니티엔티","KOSDAQ","유통","973","0","0.00","97551057352"
"101930","인화정공","KOSDAQ","운송장비·부품","11150","300","2.76","104048510750"
"333430","일승","KOSDAQ","운송장비·부품","2970","-45","-1.49","91258438590"
"068330","일신바이오","KOSDAQ","기계·장비","5770","-30","-0.52","255127127800"
"058450","일야","KOSDAQ","IT부품","685","0","0.00","21741900000"
"019540","일지테크","KOSDAQ","운송장비·부품","4300","-90","-2.05","58108050000"
